Rank,NOC,Gold,Silver,Bronze,Total,Gold %,Points
1,United States,1219,1000,876,3095,39.39,6533
2,Soviet Union*,473,376,355,1204,39.29,2526
3,China,325,258,221,804,40.42,1712
4,Germany,322,318,320,960,33.54,1922
5,Great Britain,310,344,360,1014,30.57,1978
6,France,281,320,360,961,29.24,1843
7,Italy,271,244,284,799,33.92,1585
8,Sweden,216,232,242,690,31.3,1354
9,Norway,213,187,176,576,36.98,1189
10,Japan,206,191,221,618,33.33,1221
11,Russia,194,164,185,543,35.73,1095
12,East Germany*,192,165,162,519,36.99,1068
13,Hungary,189,163,188,540,35.0,1081
14,Australia,188,199,232,619,30.37,1194
15,Netherlands,163,161,179,503,32.41,990
16,Canada,157,189,232,578,27.16,1081
17,Finland,146,150,184,480,30.42,922
18,South Korea,142,130,127,399,35.59,813
19,Switzerland,117,128,137,382,30.63,744
20,Austria,93,123,135,351,26.5,660
21,Romania,93,101,124,318,29.25,605
22,Cuba,86,70,88,244,35.25,486
23,Poland,80,100,151,331,24.17,591
24,West Germany*,67,82,94,243,27.57,459
25,New Zealand,65,42,56,163,39.88,335
26,Bulgaria,58,91,88,237,24.47,444
27,Spain,54,77,61,192,28.12,377
28,Unified Team*,54,44,37,135,40.0,287
29,Czechoslovakia*,51,57,60,168,30.36,327
30,Denmark,50,81,84,215,23.26,396
31,Belgium,49,59,67,175,28.0,332
32,Ukraine,41,43,76,160,25.62,285
33,Turkey,41,29,41,111,36.94,222
34,Brazil,40,49,81,170,23.53,299
35,Kenya,39,44,41,124,31.45,246
36,United Team of Germany*,36,60,41,137,26.28,269
37,Greece,36,46,47,129,27.91,247
38,Czech Republic,32,33,41,106,30.19,203
39,South Africa,28,36,31,95,29.47,187
40,Jamaica,27,39,28,94,28.72,187
41,Iran,27,29,32,88,30.68,171
42,Yugoslavia*,26,32,29,87,29.89,171
43,ROC (ROC)*,25,40,38,103,24.27,193
44,Ethiopia,24,15,23,62,38.71,125
45,Argentina,22,27,31,80,27.5,151
46,Belarus,21,37,47,105,20.0,184
47,Croatia,20,21,18,59,33.9,120
48,Uzbekistan,19,8,23,50,38.0,96
49,Kazakhstan,16,28,42,86,18.6,146
50,North Korea,16,19,28,63,25.4,114
51,Ireland,15,10,17,42,35.71,82
52,Slovenia,14,18,23,55,25.45,101
53,Slovakia,14,18,11,43,32.56,89
