Index,Team,Num of summer games,Summer gold medals,Summer silver medals,Summer bronze medals,Total summer medals,Num of winter games,Winter gold medals,Winter silver medals,Winter bronze medals,Total winter medals,Total number of Games,Total gold medals,Total silver medals,Total bronze medals,Total of all medals,Avg_num_of_medals_per_game,Percent of gold medals,Percent of silver medals,Percent of bronze medals,Continent,Category,Winter medal score,Summer medal score,Combined medal score,Winter medals per Game,Winter score per Game,Winter gold Share,Summer medals per Game,Summer score per Game,Summer gold Share,Group
0,Afghanistan,16,0,0,2,2,0,0,0,0,0,16,0,0,2,2,0.125,0.0,0.0,100.0,Asia,active,0,2,2,0.0,0.0,0.0,0.125,0.125,0.0,Other
1,Albania,10,0,0,2,2,5,0,0,0,0,15,0,0,2,2,0.13333333333333333,0.0,0.0,100.0,Europe,active,0,2,2,0.0,0.0,0.0,0.2,0.2,0.0,Rest of Europe
2,Algeria,15,7,4,9,20,3,0,0,0,0,18,7,4,9,20,1.1111111111111112,35.0,20.0,45.0,Africa,active,0,38,38,0.0,0.0,0.0,1.3333333333333333,2.533333333333333,0.35,Other
3,Argentina,26,22,27,31,80,20,0,0,0,0,46,22,27,31,80,1.7391304347826086,27.500000000000004,33.75,38.75,South America,active,0,151,151,0.0,0.0,0.0,3.076923076923077,5.8076923076923075,0.275,Other
4,Armenia,8,2,11,9,22,8,0,0,0,0,16,2,11,9,22,1.375,9.090909090909092,50.0,40.909090909090914,Asia,active,0,37,37,0.0,0.0,0.0,2.75,4.625,0.09090909090909091,Other
5,Australasia,2,3,4,5,12,0,0,0,0,0,2,3,4,5,12,6.0,25.0,33.33333333333333,41.66666666666667,Oceania,special delegation,0,22,22,0.0,0.0,0.0,6.0,11.0,0.25,Other
6,Australia,28,182,192,226,600,20,6,7,6,19,48,188,199,232,619,12.895833333333334,30.37156704361874,32.14862681744749,37.47980613893376,Oceania,active,38,1156,1194,0.95,1.9,0.3157894736842105,21.428571428571427,41.285714285714285,0.30333333333333334,Other
7,Austria,29,22,35,44,101,24,71,88,91,250,53,93,123,135,351,6.622641509433962,26.495726495726498,35.04273504273504,38.46153846153847,Europe,active,480,180,660,10.416666666666666,20.0,0.284,3.4827586206896552,6.206896551724138,0.21782178217821782,Rest of Europe
8,Azerbaijan,8,9,16,31,56,7,0,0,0,0,15,9,16,31,56,3.7333333333333334,16.071428571428573,28.57142857142857,55.35714285714286,Asia,active,0,90,90,0.0,0.0,0.0,7.0,11.25,0.16071428571428573,Other
9,Bahamas,18,8,2,6,16,0,0,0,0,0,18,8,2,6,16,0.8888888888888888,50.0,12.5,37.5,North America,active,0,34,34,0.0,0.0,0.0,0.8888888888888888,1.8888888888888888,0.5,Other
10,Bahrain,11,4,3,1,8,0,0,0,0,0,11,4,3,1,8,0.7272727272727273,50.0,37.5,12.5,Asia,active,0,19,19,0.0,0.0,0.0,0.7272727272727273,1.7272727272727273,0.5,Other
11,Barbados,14,0,0,1,1,0,0,0,0,0,14,0,0,1,1,0.07142857142857142,0.0,0.0,100.0,North America,active,0,1,1,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,Other
12,Belarus,7,13,30,42,85,8,8,7,5,20,15,21,37,47,105,7.0,20.0,35.23809523809524,44.761904761904766,Europe,active,43,141,184,2.5,5.375,0.4,12.142857142857142,20.142857142857142,0.15294117647058825,Rest of Europe
13,Belgium,28,47,57,63,167,22,2,2,4,8,50,49,59,67,175,3.5,28.000000000000004,33.714285714285715,38.285714285714285,Europe,active,14,318,332,0.36363636363636365,0.6363636363636364,0.25,5.964285714285714,11.357142857142858,0.281437125748503,Rest of Europe
14,Bermuda,20,1,0,1,2,8,0,0,0,0,28,1,0,1,2,0.07142857142857142,50.0,0.0,50.0,North America,active,0,4,4,0.0,0.0,0.0,0.1,0.2,0.5,Other
15,Bohemia,3,0,1,3,4,0,0,0,0,0,3,0,1,3,4,1.3333333333333333,0.0,25.0,75.0,Europe,defunct,0,5,5,0.0,0.0,0.0,1.3333333333333333,1.6666666666666667,0.0,Rest of Europe
16,Botswana,12,1,2,1,4,0,0,0,0,0,12,1,2,1,4,0.3333333333333333,25.0,50.0,25.0,Africa,active,0,8,8,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.25,Other
17,Brazil,24,40,49,81,170,9,0,0,0,0,33,40,49,81,170,5.151515151515151,23.52941176470588,28.823529411764703,47.647058823529406,South America,active,0,299,299,0.0,0.0,0.0,7.083333333333333,12.458333333333334,0.23529411764705882,Other
18,British West Indies,1,0,0,2,2,0,0,0,0,0,1,0,0,2,2,2.0,0.0,0.0,100.0,North America,defunct,0,2,2,0.0,0.0,0.0,2.0,2.0,0.0,Other
19,Bulgaria,22,57,89,85,231,21,1,2,3,6,43,58,91,88,237,5.511627906976744,24.47257383966245,38.39662447257383,37.130801687763714,Europe,active,10,434,444,0.2857142857142857,0.47619047619047616,0.16666666666666666,10.5,19.727272727272727,0.24675324675324675,Rest of Europe
20,Burkina Faso,11,0,0,1,1,0,0,0,0,0,11,0,0,1,1,0.09090909090909091,0.0,0.0,100.0,Africa,active,0,1,1,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,Other
21,Burundi,8,1,1,0,2,0,0,0,0,0,8,1,1,0,2,0.25,50.0,50.0,0.0,Africa,active,0,5,5,0.0,0.0,0.0,0.25,0.625,0.5,Other
22,Cameroon,16,3,1,2,6,1,0,0,0,0,17,3,1,2,6,0.35294117647058826,50.0,16.666666666666664,33.33333333333333,Africa,active,0,13,13,0.0,0.0,0.0,0.375,0.8125,0.5,Other
23,Canada,28,80,117,156,353,24,77,72,76,225,52,157,189,232,578,11.115384615384615,27.162629757785467,32.69896193771626,40.13840830449827,North America,active,451,630,1081,9.375,18.791666666666668,0.3422222222222222,12.607142857142858,22.5,0.22662889518413598,Other
24,Cape Verde,8,0,0,1,1,0,0,0,0,0,8,0,0,1,1,0.125,0.0,0.0,100.0,Multiple Continents,active,0,1,1,0.0,0.0,0.0,0.125,0.125,0.0,Other
25,Chile,25,3,8,4,15,18,0,0,0,0,43,3,8,4,15,0.3488372093023256,20.0,53.333333333333336,26.666666666666668,South America,active,0,29,29,0.0,0.0,0.0,0.6,1.16,0.2,Other
