Index,Team,Num of summer games,Summer gold medals,Summer silver medals,Bronze medals,Total summer medals,Num of winter games,Winter gold medals,Winter silver medals,Winter bronze medals,Total winter medals,Total number of Games,Total gold medals,Total silver medals,Total bronze medals,Total of all medals,CleanCountry,Avg_num_of_medals_per_game,Percent of gold medals,Percent of silver medals,Percent of bronze medals,Continent,Year,Rank,NOC,Gold years,Silver years,Bronze years,Total years,Yug_group,Participation_Status,Status
0.0,Afghanistan (AFG),16.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,2.0,Afghanistan,0.125,0.0,0.0,100.0,Asia,2012,79,Afghanistan,0.0,0.0,1.0,1.0,UNKNOWN,Participated,active
0.0,,16.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,2.0,,0.125,0.0,0.0,100.0,Asia,2008,82,,0.0,0.0,1.0,1.0,UNKNOWN,Participated,active
0.0,,16.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,2.0,,0.125,0.0,0.0,100.0,Asia,2000,UNKNOWN,,0.0,0.0,0.0,0.0,UNKNOWN,Excluded due to the Taliban regime (2000),active
0.0,,16.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,2.0,,0.125,0.0,0.0,100.0,Asia,2000,UNKNOWN,,0.0,0.0,0.0,0.0,UNKNOWN,Excluded due to the Taliban regime (2000),active
0.0,,16.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,2.0,,0.125,0.0,0.0,100.0,Asia,2000,UNKNOWN,,0.0,0.0,0.0,0.0,UNKNOWN,Excluded due to the Taliban regime (2000),active
0.0,,16.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,2.0,,0.125,0.0,0.0,100.0,Asia,2000,UNKNOWN,,0.0,0.0,0.0,0.0,UNKNOWN,Excluded due to the Taliban regime (2000),active
0.0,,16.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,2.0,,0.125,0.0,0.0,100.0,Asia,2000,UNKNOWN,,0.0,0.0,0.0,0.0,UNKNOWN,Excluded due to the Taliban regime (2000),active
0.0,,16.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,2.0,,0.125,0.0,0.0,100.0,Asia,2000,UNKNOWN,,0.0,0.0,0.0,0.0,UNKNOWN,Excluded due to the Taliban regime (2000),active
0.0,,16.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,2.0,,0.125,0.0,0.0,100.0,Asia,2000,UNKNOWN,,0.0,0.0,0.0,0.0,UNKNOWN,Excluded due to the Taliban regime (2000),active
0.0,,16.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,2.0,,0.125,0.0,0.0,100.0,Asia,2000,UNKNOWN,,0.0,0.0,0.0,0.0,UNKNOWN,Excluded due to the Taliban regime (2000),active
