Year,Rank,NOC,Gold years,Silver years,Bronze years,Total years,Yug_group,Participation_Status
2024,1,United States,40.0,44.0,42.0,126.0,,Participated
2024,2,China,40.0,27.0,24.0,91.0,,Participated
2024,3,Japan,20.0,12.0,13.0,45.0,,Participated
2024,4,Australia,18.0,19.0,16.0,53.0,,Participated
2024,5,France,16.0,26.0,22.0,64.0,,Participated
2024,6,Netherlands,15.0,7.0,12.0,34.0,,Participated
2024,7,Great Britain,14.0,22.0,29.0,65.0,,Participated
2024,8,South Korea,13.0,9.0,10.0,32.0,,Participated
2024,9,Italy,12.0,13.0,15.0,40.0,,Participated
2024,10,Germany,12.0,13.0,8.0,33.0,,Participated
2024,11,New Zealand,10.0,7.0,3.0,20.0,,Participated
2024,12,Canada,9.0,7.0,11.0,27.0,,Participated
2024,13,Uzbekistan,8.0,2.0,3.0,13.0,,Participated
2024,14,Hungary,6.0,7.0,6.0,19.0,,Participated
2024,15,Spain,5.0,4.0,9.0,18.0,,Participated
2024,16,Sweden,4.0,4.0,3.0,11.0,,Participated
2024,17,Kenya,4.0,2.0,5.0,11.0,,Participated
2024,18,Norway,4.0,1.0,3.0,8.0,,Participated
2024,19,Ireland,4.0,0.0,3.0,7.0,,Participated
2024,20,Brazil,3.0,7.0,10.0,20.0,,Participated
2024,21,Iran,3.0,6.0,3.0,12.0,,Participated
2024,22,Ukraine,3.0,5.0,4.0,12.0,,Participated
2024,23,Romania,3.0,4.0,2.0,9.0,,Participated
2024,24,Georgia,3.0,3.0,1.0,7.0,,Participated
2024,25,Belgium,3.0,1.0,6.0,10.0,,Participated
2024,26,Bulgaria,3.0,1.0,3.0,7.0,,Participated
2024,27,Serbia,3.0,1.0,1.0,5.0,Serbia,Participated
2024,28,Czech Republic,3.0,0.0,2.0,5.0,,Participated
2024,29,Denmark,2.0,2.0,5.0,9.0,,Participated
2024,30,Azerbaijan,2.0,2.0,3.0,7.0,,Participated
2024,30,Croatia,2.0,2.0,3.0,7.0,Croatia,Participated
2024,32,Cuba,2.0,1.0,6.0,9.0,,Participated
2024,33,Bahrain,2.0,1.0,1.0,4.0,,Participated
2024,34,Slovenia,2.0,1.0,0.0,3.0,Slovenia,Participated
2024,35,Chinese Taipei,2.0,0.0,5.0,7.0,,Participated
2024,36,Austria,2.0,0.0,3.0,5.0,,Participated
2024,37,Hong Kong,2.0,0.0,2.0,4.0,,Participated
2024,37,Philippines,2.0,0.0,2.0,4.0,,Participated
2024,39,Algeria,2.0,0.0,1.0,3.0,,Participated
2024,39,Indonesia,2.0,0.0,1.0,3.0,,Participated
2024,41,Israel,1.0,5.0,1.0,7.0,,Participated
2024,42,Poland,1.0,4.0,5.0,10.0,,Participated
2024,43,Kazakhstan,1.0,3.0,3.0,7.0,,Participated
2024,44,Jamaica,1.0,3.0,2.0,6.0,,Participated
2024,44,South Africa,1.0,3.0,2.0,6.0,,Participated
2024,44,Thailand,1.0,3.0,2.0,6.0,,Participated
2024,–,Individual Neutral Athletes[A][B],1.0,3.0,1.0,5.0,,Participated
2024,47,Ethiopia,1.0,3.0,0.0,4.0,,Participated
2024,48,Switzerland,1.0,2.0,5.0,8.0,,Participated
2024,49,Ecuador,1.0,2.0,2.0,5.0,,Participated
2024,50,Portugal,1.0,2.0,1.0,4.0,,Participated
2024,51,Greece,1.0,1.0,6.0,8.0,,Participated
2024,52,Argentina,1.0,1.0,1.0,3.0,,Participated
2024,52,Egypt,1.0,1.0,1.0,3.0,,Participated
2024,52,Tunisia,1.0,1.0,1.0,3.0,,Participated
2024,55,Botswana,1.0,1.0,0.0,2.0,,Participated
2024,55,Chile,1.0,1.0,0.0,2.0,,Participated
2024,55,Saint Lucia,1.0,1.0,0.0,2.0,,Participated
2024,55,Uganda,1.0,1.0,0.0,2.0,,Participated
2024,59,Dominican Republic,1.0,0.0,2.0,3.0,,Participated
2024,60,Guatemala,1.0,0.0,1.0,2.0,,Participated
2024,60,Morocco,1.0,0.0,1.0,2.0,,Participated
2024,62,Dominica,1.0,0.0,0.0,1.0,,Participated
2024,62,Pakistan,1.0,0.0,0.0,1.0,,Participated
2024,64,Turkey,0.0,3.0,5.0,8.0,,Participated
2024,65,Mexico,0.0,3.0,2.0,5.0,,Participated
2024,66,Armenia,0.0,3.0,1.0,4.0,,Participated
2024,66,Colombia,0.0,3.0,1.0,4.0,,Participated
2024,68,Kyrgyzstan,0.0,2.0,4.0,6.0,,Participated
2024,68,North Korea,0.0,2.0,4.0,6.0,,Participated
2024,70,Lithuania,0.0,2.0,2.0,4.0,,Participated
2024,71,India,0.0,1.0,5.0,6.0,,Participated
2024,72,Moldova,0.0,1.0,3.0,4.0,,Participated
2024,73,Kosovo,0.0,1.0,1.0,2.0,Kosovo,Participated
2024,74,Cyprus,0.0,1.0,0.0,1.0,,Participated
2024,74,Fiji,0.0,1.0,0.0,1.0,,Participated
2024,74,Jordan,0.0,1.0,0.0,1.0,,Participated
2024,74,Mongolia,0.0,1.0,0.0,1.0,,Participated
2024,74,Panama,0.0,1.0,0.0,1.0,,Participated
2024,79,Tajikistan,0.0,0.0,3.0,3.0,,Participated
2024,80,Albania,0.0,0.0,2.0,2.0,,Participated
2024,80,Grenada,0.0,0.0,2.0,2.0,,Participated
2024,80,Malaysia,0.0,0.0,2.0,2.0,,Participated
2024,80,Puerto Rico,0.0,0.0,2.0,2.0,,Participated
2024,84,Cape Verde,0.0,0.0,1.0,1.0,,Participated
2024,84,Ivory Coast,0.0,0.0,1.0,1.0,,Participated
2024,84,Peru,0.0,0.0,1.0,1.0,,Participated
2024,84,Qatar,0.0,0.0,1.0,1.0,,Participated
2024,84,Refugee Olympic Team,0.0,0.0,1.0,1.0,,Participated
2024,84,Singapore,0.0,0.0,1.0,1.0,,Participated
2024,84,Slovakia,0.0,0.0,1.0,1.0,,Participated
2024,84,Zambia,0.0,0.0,1.0,1.0,,Participated
2020,1,United States,39.0,41.0,33.0,113.0,,Participated
2020,2,China,38.0,32.0,19.0,89.0,,Participated
2020,3,Japan,27.0,14.0,17.0,58.0,,Participated
2020,4,Great Britain,22.0,20.0,22.0,64.0,,Participated
2020,5,ROC,20.0,28.0,23.0,71.0,,Participated
2020,6,Australia,17.0,7.0,22.0,46.0,,Participated
2020,7,Netherlands,10.0,12.0,14.0,36.0,,Participated
2020,8,France,10.0,12.0,11.0,33.0,,Participated
2020,9,Germany,10.0,11.0,16.0,37.0,,Participated
2020,10,Italy,10.0,10.0,20.0,40.0,,Participated
2020,11,Canada,7.0,7.0,10.0,24.0,,Participated
2020,12,Brazil,7.0,6.0,8.0,21.0,,Participated
2020,13,New Zealand,7.0,6.0,7.0,20.0,,Participated
2020,14,Cuba,7.0,3.0,5.0,15.0,,Participated
2020,15,Hungary,6.0,7.0,7.0,20.0,,Participated
2020,16,South Korea,6.0,4.0,10.0,20.0,,Participated
2020,17,Poland,4.0,5.0,5.0,14.0,,Participated
2020,18,Czech Republic,4.0,4.0,3.0,11.0,,Participated
