Index,Team,Num of summer games,Num of summer gold medals,Num of summer silver medals,Num of summer bronze medals,Total num of summer medals,Num of winter games,Num of winter gold medals,Num of winter silver medals,Num of winter bronze medals,Total num of winter medals,Combined total number of Games,Combined total number of gold medals,Combined total number of silver medals,Combined total number of bronze medals,Combined total number of all medals,Continent
0,Australasia,2,3,4,5,12,0,0,0,0,0,2,3,4,5,12,Oceania
1,Individual Neutral Athletes,1,1,3,1,5,0,0,0,0,0,1,1,3,1,5,Neutral
2,Refugee Olympic Team,3,0,0,1,1,0,0,0,0,0,3,0,0,1,1,Neutral
3,United Team of Germany,3,28,54,36,118,3,8,6,5,19,6,36,60,41,137,Europe
4,Unified Team,1,45,38,29,112,1,9,6,8,23,2,54,44,37,135,Europe
5,Olympic Athletes from Russia,0,0,0,0,0,1,2,6,9,17,1,2,6,9,17,Europe
6,ROC,1,20,28,23,71,1,5,12,15,32,2,25,40,38,103,Europe
7,Independent Olympic Athletes,3,1,0,1,2,0,0,0,0,0,3,1,0,1,2,Neutral
8,Independent Olympic Participants,1,0,1,2,3,0,0,0,0,0,1,0,1,2,3,Neutral
9,Mixed team,3,11,6,8,25,0,0,0,0,0,3,11,6,8,25,Mixed
