,Athlete,Nation,Sport,Role,Era,Participations,Start Year,End Year,Years,Sport_full,Sport_Type
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1972,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1973,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1974,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1975,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1976,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1977,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1978,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1979,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1980,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1981,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1982,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1983,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1984,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1985,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1986,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1987,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1988,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1989,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1990,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1991,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1992,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1993,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1994,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1995,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1996,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1997,Judo,Individual
