App.,Athlete,Representing,Birth/Death,Games,Period (age of first/last),Sport,Gold,Silver,Bronze,Total
10,Ian Millar,Canada,1947,"1972–1976, 1984–2012",40 years (25/65),Equestrian,0.0,1.0,0.0,1
10,Nino Salukvadze,"Soviet Union (1), Unified Team (1) and Georgia (8)",1969,1988–2024,36 years (19/55),Shooting,1.0,1.0,1.0,3
9,Hubert Raudaschl,Austria,1942,1964–1996,32 years (22/54),Sailing,0.0,2.0,0.0,2
9,Afanasijs Kuzmins,Soviet Union (3) and Latvia (6),1947,"1976–1980, 1988–2012",36 years (29/65),Shooting,1.0,1.0,0.0,2
8,Piero d'Inzeo,Italy,1923–2014,1948–1976,28 years (25/53),Equestrian,0.0,2.0,4.0,6
8,Raimondo d'Inzeo,Italy,1925–2013,1948–1976,28 years (23/51),Equestrian,1.0,2.0,3.0,6
8,Durward Knowles,Great Britain (1) and /// Bahamas (7),1917–2018,"1948–1972, 1988",40 years (31/71),Sailing,1.0,0.0,1.0,2
8,Paul Elvstrøm,Denmark,1928–2016,"1948–1960, 1968–1972, 1984–1988",40 years (20/60),Sailing,4.0,0.0,0.0,4
8,Rajmond Debevec,Yugoslavia (2) and Slovenia (6),1963,1984–2012,28 years (21/49),Shooting,1.0,0.0,2.0,3
8,Josefa Idem Guerrini,West Germany (2) and Italy (6),1964,1984–2012,28 years (20/48),Canoeing,1.0,2.0,2.0,5
8,Lesley Thompson,Canada,1959,"1984–2000, 2008–2016",32 years (24/56),Rowing,1.0,3.0,1.0,5
8,Francisco Boza,Peru,1964,"1980–2004, 2016",36 years (15/51),Shooting,0.0,1.0,0.0,1
8,Noriaki Kasai,/ Japan,1972,1992–2018,26 years (19/45),Ski jumping,0.0,2.0,1.0,3
8,Andrew Hoy,Australia,1959,"1984–2004, 2012, 2020",37 years (25/62),Equestrian,3.0,2.0,1.0,6
8,Jesús Ángel García Bragado,Spain,1969,1992–2020,29 years (22/51),Athletics,0.0,0.0,0.0,0
8,Oksana Chusovitina,"Unified Team (1), Uzbekistan (5) and Germany (2)",1975,1992–2020,29 years (17/46),Gymnastics,1.0,1.0,0.0,2
8,Claudia Pechstein,Germany,1972,"1992–2006, 2014–2022",30 years (19/49),Speed skating,5.0,2.0,2.0,9
8,Jaqueline Mourão,Brazil,1975,"2004–2008, 2020 (S) + 2006–2022 (W)[7]",18 years (28/46),"Biathlon (1), cross-country skiing (5) and cycling mountain bike (3)",0.0,0.0,0.0,0
8,Giovanni Pellielo,Italy,1972,"1992–2016, 2024",32 years (22/54),Shooting,0.0,3.0,1.0,4
8,Rodrigo Pessoa,Brazil,1972,"1992–2012, 2020-2024",32 years (19/52),Equestrian,1.0,0.0,2.0,3
7,Ivan Osiier,Denmark,1888–1965,"1908–1912, 1920–1932, 1948",40 years (20/60),Fencing,0.0,1.0,0.0,1
7,"François Lafortune, Jr",Belgium,1932–2020,1952–1976,24 years (20/44),Shooting,0.0,0.0,0.0,0
7,Kerstin Palm,Sweden,1946,1964–1988,24 years (18/42),Fencing,0.0,0.0,0.0,0
7,John Michael Plumb,United States,1940,"1964–1976, 1984–1992",28 years (24/52),Equestrian,2.0,4.0,0.0,6
7,Ragnar Skanåker,Sweden,1934,1972–1996,24 years (38/62),Shooting,1.0,2.0,1.0,4
7,Seiko Hashimoto,/ Japan,1964,1984–1994 (W) + 1988–1996 (S)[7],12 years (20/32),Speed skating (4) and track cycling (3),0.0,0.0,1.0,1
7,Merlene Ottey,Jamaica (6) and Slovenia (1),1960,1980–2004,24 years (20/44),Athletics,0.0,3.0,6.0,9
7,Jeannie Longo,France,1958,1984–2008,24 years (26/50),Road cycling (1) and track cycling (7),1.0,2.0,1.0,4
7,Jos Lansink,Netherlands (4) and Belgium (3),1961,1988–2012,24 years (27/51),Equestrian,1.0,0.0,0.0,1
7,Ralf Schumann,East Germany (1) and Germany (6),1962,1988–2012,24 years (26/50),Shooting,3.0,2.0,0.0,5
7,Jasna Šekarić,"Yugoslavia (1), Independent Olympic Participants (1), Serbia and Montenegro (3) and Serbia (2)",1965,1988–2012,24 years (22/46),Shooting,1.0,3.0,1.0,5
7,Jörgen Persson,Sweden,1966,1988–2012,24 years (22/46),Table tennis,0.0,0.0,0.0,0
7,Anky van Grunsven,Netherlands,1968,1988–2012,24 years (20/44),Equestrian,3.0,5.0,1.0,9
7,Zoran Primorac,Yugoslavia (1) and Croatia (6),1969,1988–2012,24 years (19/43),Table tennis,0.0,1.0,0.0,1
7,Jean-Michel Saive,Belgium,1969,1988–2012,24 years (18/42),Table tennis,0.0,0.0,0.0,0
7,Albert Demchenko,Unified Team (1) and Russia (6),1971,1992–2014,22 years (19/41),Luge,0.0,3.0,0.0,3
7,Mark Todd,New Zealand,1956,"1984–1992, 2000, 2008–2016",32 years (28/60),Equestrian,2.0,1.0,3.0,6
7,Nick Skelton,United Kingdom,1957,"1988–1996, 2004–2016",28 years (30/58),Equestrian,2.0,0.0,0.0,2
7,Ludger Beerbaum,West Germany (1) and Germany (6),1963,"1988–2008, 2016",28 years (25/52),Equestrian,4.0,0.0,1.0,5
7,Tinne Vilhelmson-Silfvén,Sweden,1967,1992–2016,24 years (25/49),Equestrian,0.0,0.0,0.0,0
7,João Rodrigues,Portugal,1971,1992–2016,24 years (20/44),Sailing,0.0,0.0,0.0,0
7,Ekaterina Karsten,Unified Team (1) and / Belarus (6),1972,1992–2016,24 years (20/44),Rowing,2.0,1.0,2.0,5
7,Leander Paes,India,1973,1992–2016,24 years (19/43),Tennis,0.0,0.0,1.0,1
7,Segun Toriola,Nigeria,1974,1992–2016,24 years (17/41),Table tennis,0.0,0.0,0.0,0
7,Sergei Dolidovich,// Belarus,1973,1994–2018,24 years (20/44),Cross-country skiing,0.0,0.0,0.0,0
7,Janne Ahonen,Finland,1977,1994–2018,24 years (16/40),Ski jumping,0.0,2.0,0.0,2
7,Santiago Lange,Argentina,1961,"1988, 1996–2008, 2016–2020",33 years (27/59),Sailing,1.0,0.0,2.0,3
7,Abdullah Al-Rashidi,Kuwait (6) and Independent Olympic Participants (1),1963,1996–2020,25 years (33/58),Shooting,0.0,0.0,2.0,2
7,Phillip Dutton,Australia (3) and United States (4),1963,1996–2020,25 years (32/57),Equestrian,2.0,0.0,1.0,3
7,Mariya Grozdeva,Bulgaria,1972,"1992–2012, 2020",29 years (20/49),Shooting,2.0,0.0,3.0,5
7,Isabell Werth,Germany,1969,"1992–2000, 2008, 2016-2024",32 years (23/55),Equestrian,8.0,6.0,0.0,14
7,Carl Hester,United Kingdom,1967,"1992, 2000–2004, 2012–2024",32 years (25/57),Equestrian,1.0,1.0,2.0,4
7,Robert Scheidt,Brazil,1973,1996–2020,25 years (23/48),Sailing,2.0,2.0,1.0,5
